a,b,x,y,a,b,x,y
0,6,-396029501,2028239081,,,,
0,6,1429368264,352006230,,,,
0,6,1352745686,886929091,,,,
0,12,1856398038,-535752467,,,,
0,12,-26152474,-1595220813,,,,
0,13,-1626389561,390297538,,,,
0,14,-1322994184,996499549,,,,
0,14,-122813875,1728911786,,,,
0,21,-1670845910,-501751185,,,,
0,22,-1403485542,160180176,,,,
0,29,-690859698,1773597740,,,,
0,32,-1761545175,-1864030028,,,,
0,33,815079038,-819340651,,,,
0,33,1562895722,397649107,,,,
0,34,-1727151907,1450208907,,,,
0,38,-884151125,-114452456,,,,
0,38,-933533171,1560679111,,,,
0,43,-1766992790,-451875255,,,,
0,46,2046833737,-2021189888,,,,
0,46,-1942193078,-56497389,,,,
0,46,-1543553137,-2126602272,,,,
0,52,-1118238196,496613900,,,,
0,52,2109920024,-1513441949,,,,
,,,,0,5,1725801514,-1375383687
,,,,0,15,581935932,689920597
,,,,0,16,-372787872,1061521676
,,,,0,18,-619364398,-2103274246
,,,,0,18,1621934390,-1815791440
,,,,0,24,-148518960,-2139749799
,,,,0,27,-1240324064,1701269586
,,,,0,27,1834429611,-1653225012
,,,,0,27,-618233533,-980855220
,,,,0,30,-367883407,1835971383
,,,,0,39,1033691176,-535327314
,,,,0,39,-797088111,-2129234864
,,,,0,44,886672318,1317776819
,,,,0,45,1876066213,-1433750587
,,,,0,45,1523607621,-1869699952
,,,,0,51,250162625,35714030
,,,,0,53,1449496152,1187077357
0,0,2080222958,363434193,0,0,-522068161,1622997274
0,0,-1294960269,2129477512,0,0,-522068161,1622997274
0,0,2145683065,-389346599,0,0,-522068161,1622997274
0,0,-123607772,1748512117,0,0,-522068161,1622997274
0,1,-698964242,1437075831,0,1,-389998218,784273539
0,3,1917136372,-497373202,0,3,-1676175622,1786953949
0,3,1917136372,-497373202,0,3,492868293,-1349483041
0,3,-2078438987,-1111324969,0,3,-1676175622,1786953949
0,3,-2078438987,-1111324969,0,3,492868293,-1349483041
0,4,1124065421,-2095435889,0,4,1676896206,306986570
0,4,1124065421,-2095435889,0,4,291002063,1480609437
0,7,-638027222,-132030802,0,7,-1262136937,719002598
0,7,744486423,-478072589,0,7,-1262136937,719002598
0,7,1617640683,1832326010,0,7,-1262136937,719002598
0,7,477567280,-1384529483,0,7,-1262136937,719002598
0,8,-642329508,-635060396,0,8,-1310147535,-1423586402
0,8,-642329508,-635060396,0,8,1401953554,-1374904858
0,10,312633381,-553171482,0,10,426063908,-1570429851
0,10,312633381,-553171482,0,10,961917065,-436126227
0,11,1238150186,1010761023,0,11,1628051562,-1988593961
0,17,1917023299,99411002,0,17,-1848353595,-1826961491
0,19,1704902210,-669080868,0,19,2087245311,-2029313371
0,19,717265372,2061035757,0,19,2087245311,-2029313371
0,19,475837794,780878188,0,19,2087245311,-2029313371
0,20,800628151,-1744222141,0,20,2056338538,860264466
0,20,2084172302,-1696459130,0,20,2056338538,860264466
0,23,-829797722,1924250621,0,23,244881867,-312983073
0,25,1906634181,709530080,0,25,939111703,-474079753
0,25,1906634181,709530080,0,25,739612192,295528413
0,25,1028275139,396610490,0,25,939111703,-474079753
0,25,1028275139,396610490,0,25,739612192,295528413
0,25,-709364669,-585020709,0,25,939111703,-474079753
0,25,-709364669,-585020709,0,25,739612192,295528413
0,26,-493813826,671824520,0,26,1334852724,-1828767338
0,26,-493813826,671824520,0,26,-1220159819,1465402338
0,28,-87519937,295089684,0,28,1214358132,1457837072
0,28,-87519937,295089684,0,28,438387555,1884931551
0,37,1061752475,966481468,0,37,512637825,-1380639962
0,37,1061752475,966481468,0,37,1119734273,-256252243
0,42,-1820714784,-1368737297,0,42,-168506874,902475788
0,42,1008222157,-1108680895,0,42,-168506874,902475788
0,47,-1153133814,1513133788,0,47,-1621083309,355986932
0,47,-1153133814,1513133788,0,47,472063721,1673373930
0,47,1052049183,1716937229,0,47,-1621083309,355986932
0,47,1052049183,1716937229,0,47,472063721,1673373930
0,48,723495142,-1142713255,0,48,1870857544,1763659020
0,48,723495142,-1142713255,0,48,1302819345,1319517785
0,48,723495142,-1142713255,0,48,-1786258714,-1986311640
0,48,723495142,-1142713255,0,48,1211931082,954821727
0,49,949913088,124597810,0,49,-87940985,25476165
0,50,154915652,-1505185650,0,50,2119117387,217020346
0,50,154915652,-1505185650,0,50,-525423589,1616201938
0,50,-1367772929,1337759546,0,50,2119117387,217020346
0,50,-1367772929,1337759546,0,50,-525423589,1616201938
0,54,-1212987102,-1196511244,0,54,208039516,980159421
0,54,-1212987102,-1196511244,0,54,-250026415,-884695130
0,56,-1364975184,635348934,0,56,-269223443,1490286222
0,56,2044254148,-1842082690,0,56,-269223443,1490286222
0,58,-1301637000,1377753702,0,58,1339204607,-1168161471
0,58,-1301637000,1377753702,0,58,-578312432,-35141630
0,64,1327584255,1778908327,,,,
0,64,-1968470100,-484694506,,,,
0,65,-1561714235,-1370594337,,,,
0,68,-676038177,-185786668,,,,
0,68,-1298788886,-1855606984,,,,
0,92,-1867730826,1102206499,,,,
0,98,-1923056848,1734056318,,,,
1,0,193207227,-344979161,,,,
,,,,0,63,1031354374,-784456252
,,,,0,67,1385535312,1395672495
,,,,0,67,-1188158137,1286143353
,,,,0,67,1993225943,-413304753
,,,,0,67,1330365496,-351249631
,,,,0,70,-1261643040,86978351
,,,,0,95,-1643355686,1972400568
,,,,0,97,195094198,-290450253
,,,,1,1,-846388126,-147659326
,,,,1,1,1296839760,1620469976
,,,,1,1,-1729005421,2011719658
,,,,1,3,1944890798,2031142933
,,,,1,4,-556292010,-1068639978
,,,,1,4,-911064683,5146451
,,,,1,4,-407414755,1296263590
